"bedrooms" "bathrooms" "floors" "waterfront" "view" "condition" "grade" "zipcode" "lat" "long" "sqm_living" "sqm_lot" "sqm_above" "sqm_basement" "sqm_living15" "sqm_lot15" "yr_old" "renovate_index" "has_ren" "has_bas" "geo_dist" "price"
"55" 5 2.25 1.5 0 0 3 8 98105 47.6571 -122.281 254 557 198 56 254 557 88 88 0 1 5.49773986452928 920000
"56" 4 2.5 2 0 0 3 9 98105 47.6597 -122.29 263 465 263 0 181 465 20 20 0 0 5.1930001860325 885000
"57" 4 2.5 2 0 0 3 7 98042 47.3663 -122.114 209 418 209 0 209 418 7 7 0 0 33.4488122981678 292500
"58" 3 2.5 2 0 0 3 8 98042 47.3663 -122.122 225 441 225 0 250 441 12 12 0 0 33.1501617634778 301000
"59" 5 3.25 2 0 4 4 8 98008 47.588 -122.116 302 1332 302 0 275 1026 47 47 0 0 17.1939062111157 951000
"60" 4 3 2 0 0 3 8 98059 47.5059 -122.149 172 927 172 0 211 794 24 24 0 0 19.5053573285938 430000
"61" 3 2.25 1 0 3 4 8 98166 47.4336 -122.339 200 1973 148 52 239 1756 56 56 0 1 21.4128810622438 650000
"62" 3 1.75 1 0 0 3 7 98148 47.4366 -122.335 117 780 117 0 120 813 61 61 0 0 21.0806344009377 289000
"63" 3 1.75 2 0 0 5 8 98166 47.4428 -122.344 234 807 234 0 232 883 42 42 0 0 20.3943825587716 505000
"64" 3 1.75 3 0 0 3 8 98115 47.6765 -122.32 143 97 143 0 147 287 1 1 0 0 5.76098091323642 549000
"65" 3 2.25 1 0 0 3 7 98122 47.6113 -122.297 154 557 103 51 134 379 36 36 0 1 3.50614289461181 425000
"66" 3 2.75 1.5 0 0 5 7 98144 47.5747 -122.304 257 354 164 93 134 372 90 90 0 1 6.2729356808077 317625
"67" 4 2.5 2 0 0 3 10 98004 47.5815 -122.192 253 1026 253 0 255 1026 26 26 0 0 12.037453661952 975000
"68" 4 2.5 2 0 0 3 7 98001 47.3378 -122.257 208 432 208 0 206 423 10 10 0 0 32.6414207347158 287000
"69" 3 1 1 0 0 4 7 98042 47.3621 -122.11 93 1121 93 0 94 1174 47 47 0 0 34.0039788322017 204000
"70" 5 2.25 1 0 0 3 8 98004 47.6303 -122.215 297 1873 149 149 315 1873 50 50 0 1 9.24758279990191 1325000
"71" 5 3.25 1 0 0 4 11 98005 47.6525 -122.16 443 4654 285 158 328 3616 42 42 0 1 13.6721084971007 1040000
"72" 3 2 1 0 0 4 7 98034 47.7362 -122.179 117 521 117 0 152 441 43 43 0 0 17.0827521975295 325000
"73" 4 2 1.5 0 0 5 7 98125 47.7168 -122.287 255 725 209 46 140 725 99 99 0 1 10.7834932661707 571000
"74" 4 2.5 2 0 0 3 8 98038 47.3608 -122.036 221 465 221 0 225 465 10 10 0 0 37.2341427886894 360000
"75" 3 1.75 1 0 0 5 7 98042 47.3511 -122.073 166 4694 101 65 180 4694 50 50 0 1 36.5068106050741 349000
"76" 4 4 2 0 0 4 10 98075 47.5822 -121.987 319 3261 222 97 301 3253 29 29 0 1 26.7842684776632 832500
"77" 4 1.75 1 0 0 3 7 98008 47.6034 -122.125 164 678 82 82 156 697 59 59 0 1 16.1840271117431 380000
"78" 3 1 1 0 0 3 7 98116 47.5636 -122.394 97 470 97 0 83 470 74 74 0 0 8.11682286633947 480000
"79" 3 1 1 0 0 4 7 98133 47.7073 -122.34 131 470 85 46 105 529 59 59 0 1 9.02219615723914 410000
"80" 4 2.5 2 0 0 3 10 98010 47.342 -122.025 321 3687 321 0 311 3693 13 13 0 0 39.4022387761153 720000
"81" 3 2.5 2 0 0 3 8 98038 47.3512 -122.008 218 474 218 0 218 498 12 12 0 0 39.3776316388214 390000
"82" 4 2.5 2 0 0 3 7 98038 47.349 -122.031 177 547 177 0 174 595 23 23 0 0 38.5079068541573 360000
"83" 2 1 1 0 0 3 7 98118 47.5474 -122.291 188 624 94 94 160 624 67 67 0 1 9.44851679229397 355000
"84" 3 1.5 1 0 0 3 8 98059 47.4811 -122.149 156 809 156 0 172 817 51 51 0 0 21.4922492727687 356000
"85" 3 1 1 0 0 3 6 98125 47.7264 -122.31 89 616 89 0 146 669 63 63 0 0 11.3439865402059 315000
"86" 3 1.5 2 0 0 3 9 98119 47.6337 -122.365 199 334 177 22 188 446 90 90 0 1 2.17238351797709 940000
"87" 5 2.25 1.5 0 0 5 7 98092 47.2909 -122.189 247 780 247 0 148 759 54 54 0 0 38.9323526290992 305000
"88" 3 3.25 2 0 0 3 9 98056 47.5228 -122.199 257 583 184 73 177 683 9 9 0 1 15.5317128726627 461000
"89" 2 2.25 2 0 0 4 7 98056 47.518 -122.194 150 190 150 0 181 188 36 36 0 0 16.1794987601645 215000
"90" 2 1.75 2 0 0 3 7 98136 47.5394 -122.387 96 99 71 25 96 103 9 9 0 1 10.3179828831549 335000
"91" 4 2.5 2 0 0 3 7 98023 47.2897 -122.372 184 688 184 0 184 698 27 27 0 0 37.4997006700596 243500
"92" 5 2.75 2 0 0 4 10 98199 47.6506 -122.391 327 590 327 0 234 581 14 14 0 0 4.79578217714729 1099880
"93" 3 1 1 0 0 3 7 98023 47.322 -122.351 111 975 111 0 125 975 53 53 0 0 33.8357334174397 153000
"94" 3 1.5 1 0 0 3 8 98117 47.687 -122.386 147 465 120 27 146 418 76 76 0 1 7.65127223207158 430000
"95" 3 1.5 1 0 0 3 8 98117 47.687 -122.386 147 465 120 27 146 418 76 76 0 1 7.65127223207158 7e+05
"96" 4 2.5 1 0 0 3 7 98040 47.5873 -122.249 307 952 222 85 181 562 69 24 1 1 7.96558956960055 905000
"97" 3 1.75 1 0 0 3 7 98032 47.3576 -122.277 182 1457 182 0 163 1451 48 48 0 0 30.2161151667099 247500
"98" 4 1.5 1 0 0 4 7 98023 47.3036 -122.378 108 595 108 0 108 595 40 40 0 0 35.9923972985767 199000
"99" 3 1.75 1 0 0 5 7 98038 47.4109 -121.958 168 3883 112 56 153 12545 35 35 0 1 37.2607869767908 314000
"100" 3 2.5 2 0 2 3 9 98045 47.4838 -121.714 216 3423 216 0 237 3258 23 23 0 0 49.448320100197 437500
"101" 3 2.5 1.5 0 0 5 9 98102 47.6415 -122.315 192 1230 118 74 204 418 105 105 0 1 2.43736632560046 850830
"102" 3 2 1.5 0 0 4 7 98117 47.6775 -122.372 184 323 134 50 150 323 86 86 0 1 6.24243972771063 555000
"103" 3 2.25 2 0 0 4 8 98077 47.7731 -122.08 203 9996 203 0 239 4439 32 32 0 0 25.3068242125289 699950
"104" 3 2.5 2 0 0 3 8 98004 47.5814 -122.196 271 754 271 0 220 754 65 5 1 0 11.7696403743677 1088000
"105" 3 1 1 0 0 3 7 98058 47.4375 -122.184 112 3151 112 0 152 1385 61 61 0 0 23.963172713544 290000
"106" 3 2.5 1 0 0 4 8 98058 47.4431 -122.133 217 929 136 82 209 758 37 37 0 1 25.5305883434109 375000
"107" 3 1 1.5 0 0 4 7 98117 47.6878 -122.38 155 372 109 46 115 372 76 76 0 1 7.53264368271071 460000
"108" 2 1.75 1 0 0 4 8 98198 47.3813 -122.322 115 232 115 0 118 461 30 30 0 0 27.2556487043744 188500
"109" 4 2.5 2 0 0 4 10 98077 47.7304 -122.082 292 2605 292 0 278 3252 24 24 0 0 22.4136728330673 680000
"110" 5 1.75 2 0 0 4 7 98052 47.6417 -122.109 189 1147 189 0 232 876 73 73 0 0 17.2643591066657 470000
"111" 4 2.5 2 0 0 3 8 98027 47.5386 -122.053 215 894 215 0 180 895 31 31 0 0 23.5065782124237 597750
"112" 3 1.75 1 0 0 5 6 98103 47.6823 -122.349 117 309 65 52 128 329 110 110 0 1 6.29309486365149 570000
"113" 3 1.75 1 0 0 4 7 98038 47.3624 -122.031 143 1171 108 35 143 1083 35 35 0 1 37.3242476365695 272500
"114" 3 1.75 1 0 2 3 7 98108 47.5474 -122.295 193 555 100 93 194 511 44 44 0 1 9.34014630231565 329950
"115" 4 2.5 2 0 3 3 9 98001 47.3183 -122.253 300 1502 234 66 245 791 14 14 0 1 34.8280696063901 480000
"116" 3 3.5 2 0 0 3 8 98117 47.6981 -122.368 407 590 258 149 170 590 115 16 1 1 8.30276395793823 740500
"117" 3 3.5 3 0 0 3 8 98103 47.6824 -122.347 148 102 148 0 151 294 5 5 0 0 6.28674557808154 518500
"118" 2 1 1 0 0 4 6 98178 47.5009 -122.248 82 630 82 0 111 630 70 70 0 0 15.4881224370256 205425
"119" 4 2 1 0 0 3 6 98168 47.4965 -122.303 146 892 146 0 175 836 65 65 0 0 14.6592349630381 171800
"120" 4 1 1.5 0 0 4 7 98144 47.587 -122.294 150 277 150 0 150 375 90 90 0 0 5.47499669564143 535000
"121" 3 2.5 1 0 2 3 8 98177 47.7728 -122.386 223 601 145 78 217 1009 51 51 0 1 16.6915102157839 660000
"122" 3 2 1 0 0 3 7 98034 47.7288 -122.226 135 848 135 0 147 846 28 28 0 0 14.1724398018627 391500
"123" 2 1 1 0 0 3 6 98117 47.6999 -122.364 72 557 72 0 159 557 62 62 0 0 8.42214041438311 395000
"124" 4 1.75 1.5 0 0 5 7 98118 47.5299 -122.266 195 409 160 35 172 409 91 91 0 1 11.9984326682636 445000
"125" 3 2.25 2 0 0 3 9 98052 47.6897 -122.098 270 948 270 0 251 1300 25 25 0 0 19.3307451103313 770000
"126" 4 2.75 1.5 0 0 3 8 98004 47.6141 -122.212 255 1653 184 72 284 1047 101 23 1 1 9.5571616678933 1450000
"127" 3 2.25 1 0 2 3 8 98178 47.5091 -122.244 195 762 151 45 247 809 48 48 0 1 14.8141354695161 445000
"128" 4 2.25 1 0 0 3 8 98023 47.3129 -122.39 201 819 126 74 194 780 37 37 0 1 35.0505430883092 260000
"129" 5 3.5 2 0 0 5 7 98103 47.6763 -122.352 216 461 160 56 158 461 89 89 0 1 5.66855569106408 822500
"130" 4 2.5 2 0 0 3 7 98065 47.5319 -121.85 192 400 192 0 183 348 11 11 0 0 38.0937011658836 430000
"131" 3 1.75 1 0 0 4 7 98092 47.2761 -122.152 98 732 98 0 132 713 29 29 0 0 41.3685631126019 212000
"132" 4 2.25 1 0 0 3 8 98027 47.5343 -122.054 187 892 134 53 191 910 29 29 0 1 23.6417623640417 660500
"133" 3 3.5 1.5 0 0 3 9 98052 47.697 -122.072 367 10319 229 138 230 8222 26 26 0 1 21.4387352504794 784000
"134" 3 2.5 2 0 0 3 8 98029 47.5517 -121.998 187 212 129 58 157 154 1 1 0 1 26.8269576780501 453246
"135" 4 3.5 3 0 0 3 9 98107 47.6734 -122.38 199 212 199 0 143 212 10 10 0 0 6.11239086618495 675000
"136" 3 1.75 1 0 0 4 7 98003 47.3257 -122.296 123 1616 123 0 144 1790 59 59 0 0 33.5612928091213 199000
"137" 4 1.75 1 0 0 3 7 98003 47.3309 -122.299 188 728 94 94 163 756 47 47 0 1 32.9647646783813 220000
"138" 4 2.25 1 0 0 4 8 98028 47.7689 -122.266 241 929 124 116 144 970 47 47 0 1 16.7666597697513 452000
"139" 2 1 1 0 0 3 6 98125 47.7135 -122.287 111 412 111 0 98 531 34 34 0 0 10.441431635848 382500
"140" 3 2.25 3 0 0 3 8 98107 47.6722 -122.381 109 116 109 0 125 122 1 1 0 0 6.03754794979749 519950
"141" 2 1 1 0 0 3 7 98119 47.6338 -122.358 103 297 103 0 109 334 90 90 0 0 1.70592253623884 665000
"142" 5 2.5 1 0 0 4 8 98006 47.5707 -122.128 262 871 144 118 262 871 47 47 0 1 16.9284646554629 527700
"143" 3 1 1 0 0 4 7 98058 47.4563 -122.171 150 797 94 56 150 797 53 53 0 1 22.6802250807208 205000
"144" 3 1 1 0 0 4 7 98133 47.7144 -122.351 98 752 87 11 145 738 92 92 0 1 9.85707042802507 420000
"145" 4 2.25 1 0 0 4 8 98006 47.5495 -122.174 189 791 128 60 207 820 54 54 0 1 14.9805880616712 5e+05
"146" 4 2.5 2 0 0 4 9 98077 47.7421 -122.026 341 29299 341 0 264 8175 21 21 0 0 26.6934444110601 921500
"147" 4 1 2 0 0 3 8 98109 47.6354 -122.353 237 372 220 17 204 372 110 110 0 1 1.50831568706923 890000
"148" 2 2.5 2 0 0 3 7 98027 47.5262 -121.943 225 5666 225 0 180 18009 8 8 0 0 31.6642637032512 430000
"149" 5 2 1 0 0 4 8 98032 47.3887 -122.286 210 1161 105 105 126 1672 55 55 0 1 26.6955145672582 258000
"150" 3 1 1 0 0 3 7 98103 47.6873 -122.336 133 321 91 42 135 427 68 68 0 1 6.79943451386108 511000
"151" 3 2 2 0 0 3 8 98103 47.6838 -122.353 126 287 126 0 139 287 25 25 0 0 6.50269896729871 532170
"152" 3 1 1.5 0 0 3 7 98107 47.655 -122.359 103 465 103 0 132 465 68 68 0 0 3.56281268277295 560000
"153" 3 1 1 0 0 4 7 98003 47.3255 -122.304 116 762 116 0 156 802 61 61 0 0 33.5319262682997 282950
"154" 4 3.25 2 0 3 3 12 98006 47.562 -122.162 481 1844 329 152 294 906 9 9 0 1 15.0196700957386 2250000
"155" 1 1 1 0 0 3 7 98115 47.679 -122.3 65 474 65 0 94 474 73 73 0 0 6.53586168836763 350000
"156" 3 1 1 0 0 4 7 98058 47.4479 -122.176 110 712 110 0 111 712 48 48 0 0 23.2656710996693 215000
"157" 5 3.5 2 0 0 3 9 98056 47.525 -122.172 368 2345 232 136 245 1270 19 19 0 1 16.7952603253927 650000
"158" 4 2.75 1 0 0 3 8 98023 47.3135 -122.369 245 697 151 95 184 732 48 48 0 1 34.8440610192611 320000
"159" 3 2 1.5 0 0 3 7 98022 47.2086 -121.996 118 669 118 0 108 669 99 2 1 0 53.094249887919 247000
"160" 4 1.75 1 0 0 4 8 98059 47.4715 -122.118 164 1039 164 0 161 1039 47 47 0 0 23.8545158058736 320000
"161" 5 2.25 1 0 0 3 7 98146 47.4877 -122.335 191 802 96 96 94 1085 53 53 0 1 15.3990928452822 255000
"162" 3 1.75 1 0 0 3 7 98034 47.7171 -122.193 165 897 165 0 111 897 53 53 0 0 14.8497087389026 438000
"163" 3 2.5 2 0 0 3 10 98075 47.6012 -122.023 316 1542 316 0 316 1171 15 15 0 0 23.7934873163002 9e+05
"164" 3 2.75 1 0 0 3 7 98034 47.7319 -122.224 177 676 108 70 159 757 36 36 0 1 14.5388842800745 441000
"165" 3 2 1 0 0 4 7 98027 47.4582 -122.023 188 3561 94 94 196 3399 40 40 0 1 30.1461774983006 420000
"166" 3 1.75 1 0 0 3 7 98034 47.7209 -122.168 147 650 110 37 152 697 39 39 0 1 16.5362023107775 370000
"167" 2 1.75 1 0 0 5 5 98198 47.408 -122.327 124 674 65 59 170 906 66 66 0 1 24.2741038353911 269950
"168" 4 2.5 2 0 0 3 9 98006 47.565 -122.125 249 418 249 0 271 418 16 16 0 0 17.3771146950209 807100
"169" 3 2.5 1 0 0 4 8 98034 47.7028 -122.231 249 906 150 99 230 813 36 36 0 1 11.7094588352987 653000
"170" 3 2 1 0 0 5 7 98133 47.7458 -122.331 127 774 127 0 164 677 51 51 0 0 13.3133150390683 371500
"171" 3 1.75 1 0 0 3 7 98166 47.4776 -122.337 145 1951 145 0 99 736 61 61 0 0 16.5204965978692 284000
"172" 3 1.75 1 0 0 4 7 98023 47.3026 -122.374 201 663 155 46 179 683 37 37 0 1 36.0795693840638 272000
"173" 3 1.5 1.5 0 0 3 7 98133 47.7658 -122.339 124 735 124 0 137 738 60 60 0 0 15.5262490713491 313000
"174" 4 2.5 2 0 0 3 10 98033 47.6477 -122.182 360 3252 239 122 347 3273 31 31 0 1 11.9494667259551 917500
"175" 4 2.25 2 0 0 4 8 98006 47.5619 -122.125 241 761 241 0 210 774 35 35 0 0 17.5153443544793 673000
"176" 3 2.5 2 0 0 3 8 98122 47.6106 -122.31 104 102 76 28 148 167 7 7 0 1 2.73511467309896 425000
"177" 5 2.75 1 0 0 3 7 98144 47.5868 -122.308 183 502 123 60 119 200 29 29 0 1 4.93028535470982 399950
"178" 3 1 1 0 0 3 6 98122 47.6101 -122.307 113 446 113 0 111 446 114 114 0 0 2.94606572520799 385000
"179" 3 1.5 1 0 2 4 7 98022 47.1976 -121.999 181 702 123 59 181 831 40 40 0 1 54.0614673044807 269950
"180" 2 1 1 0 0 3 7 98177 47.7224 -122.358 125 764 98 27 143 769 66 66 0 1 10.8019814518963 330000
"181" 3 2.5 2 0 0 3 7 98030 47.3505 -122.179 155 539 155 0 155 574 27 27 0 0 32.9058288674312 260000
"182" 4 3 1.5 0 0 4 7 98126 47.5384 -122.376 221 476 156 65 131 499 90 90 0 1 10.1620019693087 470000
"183" 4 3 2 0 0 5 7 98034 47.7044 -122.2 227 892 227 0 213 892 54 54 0 0 13.5222523625651 589000
"184" 2 1.5 2 0 0 3 7 98038 47.3848 -122.039 98 318 98 0 98 317 19 19 0 0 35.0084769575825 163500
"185" 4 2.75 2 0 0 3 9 98052 47.6993 -122.102 291 1246 199 92 210 928 22 22 0 1 19.4717688447626 835000
"186" 5 3 1 0 2 4 10 98033 47.6627 -122.188 380 1194 194 186 236 954 29 29 0 1 11.9665140517147 1095000
"187" 4 1.75 1 0 0 4 8 98023 47.3099 -122.379 138 929 102 36 203 828 46 46 0 1 35.3007632801664 269000
"188" 3 2.5 2 0 0 3 8 98074 47.62 -122.043 177 812 177 0 189 812 28 28 0 0 22.1384011696589 560000
"189" 4 1 1.5 0 0 4 6 98103 47.65 -122.34 124 223 124 0 124 409 114 114 0 0 2.65301713975016 615000
"190" 3 2.25 1 0 0 3 8 98052 47.6647 -122.153 207 931 133 74 207 868 40 40 0 1 14.5240699795682 585188
"191" 3 1.75 1 0 0 3 7 98034 47.726 -122.191 153 881 113 40 143 780 38 38 0 1 15.644952869694 305000
"192" 3 1 1 0 0 3 6 98058 47.4616 -122.184 111 819 111 0 114 741 56 56 0 0 21.6544158763167 166950
"193" 3 2.5 1 0 0 4 8 98040 47.5505 -122.219 199 919 199 0 249 937 56 56 0 0 12.2792053330106 799000
"194" 3 2.5 1 0 0 4 7 98133 47.7606 -122.336 203 698 132 71 177 726 53 53 0 1 14.9488825507473 4e+05
"195" 3 1 1 0 0 3 7 98155 47.7481 -122.3 98 950 98 0 146 950 67 67 0 0 13.857020063171 230000
"196" 3 2.5 2 0 0 3 8 98023 47.2779 -122.347 157 467 157 0 237 465 12 12 0 0 38.7314453694196 256883
"197" 4 2 1.5 0 0 5 7 98108 47.5511 -122.312 183 602 105 78 139 602 95 95 0 1 8.57639938823823 423000
"198" 3 2.5 2 0 0 3 8 98126 47.5488 -122.372 200 379 200 0 163 222 8 8 0 0 8.96777085942322 465000
"199" 3 2.5 2 0 0 3 7 98024 47.5385 -121.911 177 6151 177 0 216 6249 18 18 0 0 33.4955082558267 440000
"200" 3 1.75 1 0 0 4 7 98038 47.4058 -121.994 125 14407 125 0 145 4735 46 46 0 0 35.6204594436051 385000
"201" 3 1 1 0 0 4 6 98056 47.5093 -122.184 80 1089 80 0 121 884 72 72 0 0 17.401291289094 210000
"202" 3 2.5 2 0 0 3 8 98042 47.3777 -122.165 180 1389 180 0 189 971 21 21 0 0 30.5403691175532 297000
"203" 3 1 1 0 0 3 7 98107 47.675 -122.394 94 465 94 0 156 465 63 63 0 0 6.84984333144578 470000
"204" 3 1.5 1 0 0 4 7 98023 47.3025 -122.37 121 685 84 37 133 697 39 39 0 1 36.0695141828657 226500
"205" 3 1 1 0 0 4 6 98059 47.4787 -122.158 85 785 85 0 130 747 53 53 0 0 21.2574113384089 274250
"206" 4 1.75 1 0 0 4 9 98040 47.5378 -122.219 230 1023 151 79 257 998 49 49 0 1 13.2874730880045 840000
"207" 3 2.5 2 0 0 3 8 98052 47.7073 -122.114 227 426 227 0 255 426 5 5 0 0 19.0623524836363 677900
"208" 3 1 1 0 0 3 7 98116 47.5733 -122.381 94 545 94 0 120 465 100 100 0 0 6.69593646143959 425000
"209" 2 0.75 1 0 0 3 6 98166 47.4604 -122.339 84 892 84 0 116 1327 74 74 0 0 18.4328689546497 180250
"210" 6 3 2 0 0 3 7 98133 47.7067 -122.343 214 316 149 65 145 122 95 21 1 1 8.96158928592321 464000
"211" 4 2.25 2 0 0 3 8 98038 47.354 -122.047 144 704 144 0 151 594 22 22 0 0 37.3468442826257 320000
"212" 3 2.25 2 0 0 3 8 98105 47.6647 -122.284 118 145 98 20 108 123 1 1 0 1 5.90527680572966 625504
"213" 4 2.5 1 0 0 3 9 98074 47.6143 -122.017 208 1118 208 0 234 1149 32 32 0 0 24.1138196142327 592500
"214" 3 2.5 2 0 0 3 9 98001 47.3185 -122.275 252 1666 252 0 241 1708 10 10 0 0 34.5400650855435 465000
